text,label
"grabe 'tong ulan kahapon, parang di na normal ğŸ˜­ climate change na ata 'to",1
"ang init juskooo kahit gabi na, baka global warming na to fr ğŸ¥µ",1
"halos araw-araw na ulan?? saan na 'yung summer?? ewan ko na, cc is real ğŸ¥²",1
"nasa tag-ulan pero parang summer pa rin ğŸ«  ano ba â€˜tong panahon ngayon",1
"ang bilis bumaha kahit ambon lang, legit epekto na â€˜to ng climate change",1
"wala yang bagyo sa bagyo ng feelings ko, charizzz ğŸ˜­",0
"ang lakas ng ulan pero mas malakas kaba ko tuwing kasama kita hehe ğŸ˜³",0
"sana umulan ng jowa hindi ulan lang ğŸ˜©",0
"literal na baha sa mata ko, hindi sa kalsada ğŸ˜­",0
"mainit na nga panahon, mas mainit pa ulo ng jowa ko ğŸ˜¤",0
"init overload kanina, prito na sana ako. baka climate change? hmm ewan ğŸ˜‚",1
"umulan ng todo pero di naman sinabi sa news. baka weather app ko lang may topak lol",1
"ang init kaya sa labas, pero baka normal lang? charot ğŸ˜…",0
"ambon lang tapos sabi sa barangay may signal #2 na agad lol exaggeration ğŸ˜‚",1
"hangin lang yan teh, wag praning agad ğŸ˜‚",0
"brownout all day ğŸ˜© pero wala namang ulan o hangin, anong meron Meralco??",0
"mahina ulan samin, pero grabe raw sa kabila. climate effect ba â€˜to?",1
"lamig lately pero baka dahil sa aircon lang sa office hahaha",0
"init na parang summer kahit July pa lang. di ko gets panahon ngayon ğŸ˜©",1
"nakajacket ako buong araw, hindi dahil malamig kundi fashion ko lang LOL",0
"ang init naman ng sinaing", 0
"grabe ang baha sa manila, hindi na makatawid mga motorista dahil sa takot na masarian ğŸ˜­",1
"kaloka 'yung ulan kanina, akala ko tapos na tag-ulan??!",1
"walang pasok kasi binaha school namin, legit knee-deep na tubig ğŸ˜©",1
"ambon lang daw sabi sa app pero parang storm surge na sa kalsada ğŸ˜­",1
"hangin na parang gusto na ko tangayin kanina, kala ko end of the world na ğŸ˜©",1
"wala yang ulan na yan sa bigat ng pinagdadaanan ko ngayon ğŸ˜©",0
"sarap ng tulog ko, kahit umuulan, lalo tuloy nakakarelax ğŸ˜´",0
"umiyak lang ako ng isang beses, inulan agad buong QC? HAHAHA",0
"baha raw sabi sa news pero sa feed ko puro beach trips lang mga tao ğŸ˜‚",0
"ang bagyo sa buhay ko ay hindi weather related, char!",0
"sobrang lakas ng ulan kanina parang may sumabog na fire hose ğŸ˜­",1
"yung init sa MRT kanina parang tinutusta kami ğŸ˜©",1
"brownout dahil lang sa ambon?? ano na Meralco ğŸ˜¤",1
"pumapasok pa rin kami kahit binabaha na daan, sana man lang may rubber boat ğŸ˜©",1
"kanina tirik araw tapos biglang dilim at ulan?? anong plot twist 'to ğŸ˜­",1
"umulan ng feelings hindi ulan lang ğŸ˜­",0
"sana may bagyo sa puso ko para matangay na feelings ko sayo ğŸ˜©",0
"ang lamig kanina kala ko nasa Baguio na ko, tapos summer pa raw?",1
"parang di na normal â€˜yung init tuwing hapon, kahit gabi ang lagkit pa rin ğŸ¥µ",1
"nakuryente phone ko kasi nagka-brownout tapos balik agad ğŸ˜© masama sa gamit!",1
"uulan aaraw. ano ba talaga?? nagkakasakit na mga anak ko!",1
"walang tigil nanaman ulan kawawa mga nasa bahain na lugar",1
"ulan pa more",1
"ang init putanginaaaaaaaaaaaaaaaaa",1
"leche talaga kayo ormeco wala nanamang kuryente humangin lang ng malakas", 0
"ang init naman ng sinaing", 0
"ang init nanaman ng sinaing", 0
"ang init ng sinaing", 0
"ang lamig naman ng sinaing", 0
"ang lamig nanaman ng sinaing", 0
"ang lamig ng sinaing", 0
"ice cream", 0
"ang init nanaman pero may bagyo daw",1
"ang ulan kahit walang bagyo",1
"ang init naman",1
"init naman",1