language,keyword
english,rain
english,storm
english,cloud
english,wind
english,sun
english,heat
english,cold
english,fog
english,typhoon
english,climate
english,weather
english,lightning
english,thunder
english,humidity
english,drought
english,flood
english,temperature
english,precipitation
english,sunny
english,cloudy
english,rainy
english,windy
english,snow
english,hail
english,hurricane
english,cyclone
english,tornado
english,breeze
english,gale
english,mist
english,shower
english,rainbow
english,dew
english,frost
english,ice
english,blizzard
english,monsoon
english,season
english,atmospheric
cebuano,ulan
cebuano,bagyo
cebuano,hangin
cebuano,init
cebuano,tugnaw
cebuano,kilat
cebuano,dalugdog
cebuano,baha
cebuano,ting-ulan
cebuano,ting-init
cebuano,dag-um
cebuano,panganurin
cebuano,awas
tagalog,ulan
tagalog,bagyo
tagalog,ulap
tagalog,hangin
tagalog,araw
tagalog,init
tagalog,lamig
tagalog,hamog
tagalog,kidlat
tagalog,kulog
tagalog,baha
tagalog,tag-ulan
tagalog,tag-init
tagalog,tag-lamig
tagalog,daluyong
tagalog,unos
tagalog,ambon
tagalog,buhos
tagalog,dilim
tagalog,liwanag
tagalog,tirik
tagalog,sikat
tagalog,panahon
tagalog,patak
tagalog,himpapawid
tagalog,alapaap
tagalog,umiihip
tagalog,bumabagyo
tagalog,bumagyo
tagalog,lumalaki
tagalog,pagbugso
tagalog,pagbaha
tagalog,bagyuhin