text,sentiment
"ang init ngayon","negative"
"sobrang init bad trip","negative"
"mainit dito di ko gusto","negative"
"grabe yung init","negative"
"ayoko ng ulan","negative"
"ulan na naman hassle","negative"
"baha dito nakakainis","negative"
"lamig sobra ayoko","negative"
"traffic dahil sa ulan bad","negative"
"ang pangit ng weather","negative"
"ang init hindi comfy","negative"
"maulan hindi makalabas","negative"
"nakakapagod yung init","negative"
"di ko trip yung lamig","negative"
"masama weather ngayon","negative"
"ang init walang hangin","negative"
"malamig sobra hirap gumalaw","negative"
"init ulan sabay sabay hassle","negative"
"di ok weather today","negative"
"sobrang bad weather","negative"
"ang sarap ng lamig","positive"
"ganda ng weather","positive"
"presko ngayon","positive"
"malamig nice","positive"
"perfect weather today","positive"
"maulan pero relaxing","positive"
"ang sarap matulog ngayon","positive"
"love ko yung lamig","positive"
"good weather vibes","positive"
"masarap hangin ngayon","positive"
"lamig today good","positive"
"sunny pero ok lang","positive"
"weather today solid","positive"
"sakto lang init","positive"
"ayos yung ulan ngayon","positive"
"fresh air ngayon","positive"
"ganda ng morning weather","positive"
"perfect para maglakad","positive"
"nice weather for coffee","positive"
"calm weather ngayon","positive"
"mainit ngayon","neutral"
"umuulan ngayon","neutral"
"mahangin ngayon","neutral"
"maulap ngayon","neutral"
"may ulan mamaya","neutral"
"weather update lang","neutral"
"init sa labas","neutral"
"malamig sa gabi","neutral"
"umaaraw ngayon","neutral"
"cloudy today","neutral"
"weather today normal","neutral"
"walang ulan ngayon","neutral"
"may araw pero mahina","neutral"
"konting ulan lang","neutral"
"forecast sabi uulan","neutral"
"maulan buong hapon","neutral"
"weather same as yesterday","neutral"
"gabi malamig","neutral"
"hapon mainit konti","neutral"
"walang pagbabago sa weather","neutral"